id,source,target,type,description
REL_104,REG_LOW_001,EVT_ROM_001,ЧАСТЬ_КОНТЕКСТА,Карточка «Семь холмов Рима» раскрывает локальный контекст темы «Основание Рима».
REL_105,LOC_LOW_005,PER_ROM_001,ЧАСТЬ_КОНТЕКСТА,Карточка «Луперкал» раскрывает локальный контекст темы «Ромул».
REL_106,ART_LOW_001,PER_ROM_001,ЧАСТЬ_КОНТЕКСТА,Карточка «Хижина Ромула» раскрывает локальный контекст темы «Ромул».
REL_107,ART_LOW_002,ART_LOW_001,ЧАСТЬ_КОНТЕКСТА,Карточка «Урна-хижина» раскрывает локальный контекст темы «ART_LOW_001».
REL_108,ORG_LOW_001,ORG_AREP_002,ЧАСТЬ_КОНТЕКСТА,Карточка «Курии» раскрывает локальный контекст темы «Куриатные комиции».
REL_109,TERM_LOW_001,CUL_REP_001,ЧАСТЬ_КОНТЕКСТА,Карточка «Род — gens» раскрывает локальный контекст темы «Патриции».
REL_110,TERM_LOW_002,ORG_ROM_001,ЧАСТЬ_КОНТЕКСТА,Карточка «Patres» раскрывает локальный контекст темы «Римский сенат».
REL_111,ORG_LOW_002,PER_ROM_001,ЧАСТЬ_КОНТЕКСТА,Карточка «Целеры» раскрывает локальный контекст темы «Ромул».
REL_112,TERM_LOW_003,TERM_LOW_004,ЧАСТЬ_КОНТЕКСТА,Карточка «Paterfamilias» раскрывает локальный контекст темы «TERM_LOW_004».
REL_113,TERM_LOW_004,TERM_LOW_003,ЧАСТЬ_КОНТЕКСТА,Карточка «Familia» раскрывает локальный контекст темы «TERM_LOW_003».
REL_114,REL_LOW_001,REL_LOW_002,ЧАСТЬ_КОНТЕКСТА,Карточка «Лары» раскрывает локальный контекст темы «REL_LOW_002».
REL_115,REL_LOW_002,REL_LOW_001,ЧАСТЬ_КОНТЕКСТА,Карточка «Пенаты» раскрывает локальный контекст темы «REL_LOW_001».
REL_116,REL_LOW_003,ORG_ROM_002,ЧАСТЬ_КОНТЕКСТА,Карточка «Культ Весты» раскрывает локальный контекст темы «Весталки».
REL_117,REL_LOW_004,REG_ROM_001,ЧАСТЬ_КОНТЕКСТА,Карточка «Термин» раскрывает локальный контекст темы «Лаций».
REL_118,EVT_LOW_001,LOC_LOW_005,ЧАСТЬ_КОНТЕКСТА,Карточка «Луперкалии» раскрывает локальный контекст темы «LOC_LOW_005».
REL_119,TERM_LOW_005,PER_ROM_007,ЧАСТЬ_КОНТЕКСТА,Карточка «Римский календарь» раскрывает локальный контекст темы «Нума Помпилий».
REL_120,ART_LOW_003,TERM_ITA_001,ЧАСТЬ_КОНТЕКСТА,Карточка «Aes rude» раскрывает локальный контекст темы «Муниципий».
REL_121,ART_LOW_004,CUL_ROM_002,ЧАСТЬ_КОНТЕКСТА,Карточка «Буккеро» раскрывает локальный контекст темы «Этруски».
REL_122,LOC_LOW_006,REG_ARC_001,ЧАСТЬ_КОНТЕКСТА,Карточка «Бычий форум» раскрывает локальный контекст темы «Тибр».
REL_123,LOC_LOW_007,ART_ARC_001,ЧАСТЬ_КОНТЕКСТА,Карточка «Велабр» раскрывает локальный контекст темы «Клоака Максима».
REL_124,LOC_LOW_008,LOC_ROM_001,ЧАСТЬ_КОНТЕКСТА,Карточка «Мугонские ворота» раскрывает локальный контекст темы «Палатинский холм».
REL_125,LOC_LOW_009,ORG_AREP_003,ЧАСТЬ_КОНТЕКСТА,Карточка «Марсово поле» раскрывает локальный контекст темы «Центуриатные комиции».
REL_126,LOC_LOW_010,LOC_ROM_002,ЧАСТЬ_КОНТЕКСТА,Карточка «Ростры» раскрывает локальный контекст темы «Римский форум».
REL_127,LOC_LOW_011,PER_ARC_002,ЧАСТЬ_КОНТЕКСТА,Карточка «Тарпейская скала» раскрывает локальный контекст темы «Тарпея».
REL_128,REL_LOW_005,BAT_AREP_001,ЧАСТЬ_КОНТЕКСТА,Карточка «Храм Кастора и Поллукса» раскрывает локальный контекст темы «Битва у Регилльского озера».
REL_129,LOC_LOW_012,PER_ROM_007,ЧАСТЬ_КОНТЕКСТА,Карточка «Регия» раскрывает локальный контекст темы «Нума Помпилий».
REL_130,TERM_LOW_006,TERM_LOW_005,ЧАСТЬ_КОНТЕКСТА,Карточка «Фасты» раскрывает локальный контекст темы «TERM_LOW_005».
REL_131,TERM_LOW_007,LOC_LOW_006,ЧАСТЬ_КОНТЕКСТА,Карточка «Нундины» раскрывает локальный контекст темы «LOC_LOW_006».
REL_132,TERM_LOW_008,ORG_ROM_001,ЧАСТЬ_КОНТЕКСТА,Карточка «Mos maiorum» раскрывает локальный контекст темы «Римский сенат».
REL_133,TERM_LOW_009,ORG_ARC_001,ЧАСТЬ_КОНТЕКСТА,Карточка «Imperium» раскрывает локальный контекст темы «Римские консулы».
REL_134,TERM_LOW_010,TERM_LOW_009,ЧАСТЬ_КОНТЕКСТА,Карточка «Potestas» раскрывает локальный контекст темы «TERM_LOW_009».
REL_135,TERM_LOW_011,ORG_ROM_001,ЧАСТЬ_КОНТЕКСТА,Карточка «Auctoritas» раскрывает локальный контекст темы «Римский сенат».
REL_136,LAW_LOW_001,LAW_REP_001,ЧАСТЬ_КОНТЕКСТА,Карточка «Право апелляции» раскрывает локальный контекст темы «Законы XII таблиц».
REL_137,LAW_LOW_002,ORG_AREP_005,ЧАСТЬ_КОНТЕКСТА,Карточка «Плебисцит» раскрывает локальный контекст темы «Плебейский совет».
REL_138,ORG_LOW_003,ORG_AREP_005,ЧАСТЬ_КОНТЕКСТА,Карточка «Римские трибы» раскрывает локальный контекст темы «Плебейский совет».
REL_139,ORG_LOW_004,ORG_AREP_003,ЧАСТЬ_КОНТЕКСТА,Карточка «Центурия» раскрывает локальный контекст темы «Центуриатные комиции».
REL_140,ORG_LOW_005,ORG_LOW_003,ЧАСТЬ_КОНТЕКСТА,Карточка «Трибутные комиции» раскрывает локальный контекст темы «ORG_LOW_003».
REL_141,ORG_LOW_006,ORG_ARC_001,ЧАСТЬ_КОНТЕКСТА,Карточка «Интеррекс» раскрывает локальный контекст темы «Римские консулы».
REL_142,ORG_LOW_007,PER_ROM_007,ЧАСТЬ_КОНТЕКСТА,Карточка «Царь священнодействий» раскрывает локальный контекст темы «Нума Помпилий».
REL_143,REG_LOW_002,STATE_ROM_002,ЧАСТЬ_КОНТЕКСТА,Карточка «Ager Romanus» раскрывает локальный контекст темы «Римская республика».
REL_144,TERM_LOW_012,REG_LOW_002,ЧАСТЬ_КОНТЕКСТА,Карточка «Общественная земля» раскрывает локальный контекст темы «REG_LOW_002».
REL_145,TERM_LOW_013,SYS_ITA_001,ЧАСТЬ_КОНТЕКСТА,Карточка «Союзники — socii» раскрывает локальный контекст темы «Союзная система Рима».
REL_146,TERM_LOW_014,SYS_ITA_001,ЧАСТЬ_КОНТЕКСТА,Карточка «Foedus» раскрывает локальный контекст темы «Союзная система Рима».
REL_147,TERM_LOW_015,TERM_ITA_004,ЧАСТЬ_КОНТЕКСТА,Карточка «Латинская колония» раскрывает локальный контекст темы «Римская колония».
REL_148,ROAD_LOW_001,ROAD_ITA_001,ЧАСТЬ_КОНТЕКСТА,Карточка «Латинская дорога» раскрывает локальный контекст темы «Аппиева дорога».
REL_149,ROAD_LOW_002,SYS_ITA_001,ЧАСТЬ_КОНТЕКСТА,Карточка «Валериева дорога» раскрывает локальный контекст темы «Союзная система Рима».
REL_150,CITY_LOW_001,TERM_LOW_015,ЧАСТЬ_КОНТЕКСТА,Карточка «Калес» раскрывает локальный контекст темы «TERM_LOW_015».
REL_151,CITY_LOW_002,WAR_ITA_002,ЧАСТЬ_КОНТЕКСТА,Карточка «Луцерия» раскрывает локальный контекст темы «Самнитские войны».
REL_152,CITY_LOW_003,BAT_ITA_003,ЧАСТЬ_КОНТЕКСТА,Карточка «Нарния» раскрывает локальный контекст темы «Битва при Сентине».
REL_153,CITY_LOW_004,REG_ITA_001,ЧАСТЬ_КОНТЕКСТА,Карточка «Альба-Фуценс» раскрывает локальный контекст темы «Самний».
REL_154,CITY_LOW_005,STATE_ITA_001,ЧАСТЬ_КОНТЕКСТА,Карточка «Коза» раскрывает локальный контекст темы «Римская Италия».
REL_155,PEO_LOW_001,REG_ITA_001,ЧАСТЬ_КОНТЕКСТА,Карточка «Марсы» раскрывает локальный контекст темы «Самний».
REL_156,PEO_LOW_002,REG_ITA_001,ЧАСТЬ_КОНТЕКСТА,Карточка «Вестины» раскрывает локальный контекст темы «Самний».
REL_157,PEO_LOW_003,REG_ITA_001,ЧАСТЬ_КОНТЕКСТА,Карточка «Пелигны» раскрывает локальный контекст темы «Самний».
REL_158,PEO_LOW_004,STATE_ITA_001,ЧАСТЬ_КОНТЕКСТА,Карточка «Френтаны» раскрывает локальный контекст темы «Римская Италия».
REL_159,PEO_LOW_005,STATE_ITA_001,ЧАСТЬ_КОНТЕКСТА,Карточка «Марруцины» раскрывает локальный контекст темы «Римская Италия».
REL_160,PEO_LOW_006,STATE_ITA_001,ЧАСТЬ_КОНТЕКСТА,Карточка «Пицены» раскрывает локальный контекст темы «Римская Италия».
REL_161,PEO_LOW_007,BAT_ITA_003,ЧАСТЬ_КОНТЕКСТА,Карточка «Умбры» раскрывает локальный контекст темы «Битва при Сентине».
REL_162,PEO_LOW_008,CUL_REP_002,ЧАСТЬ_КОНТЕКСТА,Карточка «Оски» раскрывает локальный контекст темы «Плебеи».
REL_163,ORG_LOW_008,WAR_ITA_002,ЧАСТЬ_КОНТЕКСТА,Карточка «Римский набор» раскрывает локальный контекст темы «Самнитские войны».
REL_164,TERM_LOW_016,ORG_LOW_008,ЧАСТЬ_КОНТЕКСТА,Карточка «Sacramentum» раскрывает локальный контекст темы «ORG_LOW_008».
REL_165,TERM_LOW_017,ORG_LOW_008,ЧАСТЬ_КОНТЕКСТА,Карточка «Tributum» раскрывает локальный контекст темы «ORG_LOW_008».
REL_166,ART_LOW_005,ORG_LOW_008,ЧАСТЬ_КОНТЕКСТА,Карточка «Военный штандарт» раскрывает локальный контекст темы «ORG_LOW_008».
REL_167,ORG_LOW_009,WAR_ITA_002,ЧАСТЬ_КОНТЕКСТА,Карточка «Гастаты» раскрывает локальный контекст темы «Самнитские войны».
REL_168,ORG_LOW_010,WAR_ITA_002,ЧАСТЬ_КОНТЕКСТА,Карточка «Принципы» раскрывает локальный контекст темы «Самнитские войны».
REL_169,ORG_LOW_011,WAR_ITA_002,ЧАСТЬ_КОНТЕКСТА,Карточка «Триарии» раскрывает локальный контекст темы «Самнитские войны».
REL_MES_001,REG_MES_002,REG_MES_001,PART_OF,«Тигр» раскрывает тему главы «Земля между Тигром и Евфратом».
REL_MES_002,REG_MES_003,REG_MES_001,INFLUENCED,«Евфрат» раскрывает тему главы «Земля между Тигром и Евфратом».
REL_MES_003,REG_MES_004,REG_MES_001,ECONOMIC_LINK,«Южная аллювиальная равнина» раскрывает тему главы «Земля между Тигром и Евфратом».
REL_MES_004,TERM_MES_001,REG_MES_001,CULTURAL_LINK,«Плодородный полумесяц» раскрывает тему главы «Земля между Тигром и Евфратом».
REL_MES_005,TERM_MES_002,REG_MES_001,LOCATED_IN,«Аллювий» раскрывает тему главы «Земля между Тигром и Евфратом».
REL_MES_006,REG_MESA_001,REG_MES_001,PART_OF,«Верхняя Месопотамия» раскрывает тему главы «Земля между Тигром и Евфратом».
REL_MES_007,REG_MESA_002,REG_MES_001,INFLUENCED,«Нижняя Месопотамия» раскрывает тему главы «Земля между Тигром и Евфратом».
REL_MES_008,TERM_MESA_001,REG_MES_001,ECONOMIC_LINK,«Тростниковые болота» раскрывает тему главы «Земля между Тигром и Евфратом».
REL_MES_009,ART_MESA_001,REG_MES_001,CULTURAL_LINK,«Битум» раскрывает тему главы «Земля между Тигром и Евфратом».
REL_MES_010,ART_MESA_002,REG_MES_001,LOCATED_IN,«Глина» раскрывает тему главы «Земля между Тигром и Евфратом».
REL_MES_011,TERM_MESA_002,REG_MES_001,PART_OF,«Ячмень» раскрывает тему главы «Земля между Тигром и Евфратом».
REL_MES_012,TERM_MESA_003,REG_MES_001,INFLUENCED,«Овцы и козы» раскрывает тему главы «Земля между Тигром и Евфратом».
REL_MES_013,TERM_MESA_004,REG_MES_001,ECONOMIC_LINK,«Дефицит сырья» раскрывает тему главы «Земля между Тигром и Евфратом».
REL_MES_014,REG_MES_001,REG_MES_002,PRECEDES,Связанные элементы одного исторического процесса.
REL_MES_015,REG_MES_002,REG_MES_003,PRECEDES,Связанные элементы одного исторического процесса.
REL_MES_016,REG_MES_003,REG_MES_004,PRECEDES,Связанные элементы одного исторического процесса.
REL_MES_017,REG_MES_004,TERM_MES_001,PRECEDES,Связанные элементы одного исторического процесса.
REL_MES_018,TERM_MES_001,TERM_MES_002,PRECEDES,Связанные элементы одного исторического процесса.
REL_MES_019,TERM_MES_005,SYS_MES_001,PART_OF,"«Канал» раскрывает тему главы «Земледелие, каналы и поселения»."
REL_MES_020,EVT_MES_001,SYS_MES_001,INFLUENCED,"«Рост земледельческих поселений» раскрывает тему главы «Земледелие, каналы и поселения»."
REL_MES_021,TERM_MES_006,SYS_MES_001,ECONOMIC_LINK,"«Плуг-сеялка» раскрывает тему главы «Земледелие, каналы и поселения»."
REL_MES_022,TERM_MES_007,SYS_MES_001,CULTURAL_LINK,"«Излишек продукта» раскрывает тему главы «Земледелие, каналы и поселения»."
REL_MES_023,TERM_MES_008,SYS_MES_001,LOCATED_IN,"«Телль» раскрывает тему главы «Земледелие, каналы и поселения»."
REL_MES_024,ART_MESA_003,SYS_MES_001,PART_OF,"«Кремнёвый серп» раскрывает тему главы «Земледелие, каналы и поселения»."
REL_MES_025,ART_MESA_004,SYS_MES_001,INFLUENCED,"«Зернотёрка» раскрывает тему главы «Земледелие, каналы и поселения»."
REL_MES_026,TERM_MESA_005,SYS_MES_001,ECONOMIC_LINK,"«Финиковая пальма» раскрывает тему главы «Земледелие, каналы и поселения»."
REL_MES_027,TERM_MESA_006,SYS_MES_001,CULTURAL_LINK,"«Засоление почв» раскрывает тему главы «Земледелие, каналы и поселения»."
REL_MES_028,TERM_MESA_007,SYS_MES_001,LOCATED_IN,"«Трудовая повинность» раскрывает тему главы «Земледелие, каналы и поселения»."
REL_MES_029,TERM_MESA_008,SYS_MES_001,PART_OF,"«Домохозяйство» раскрывает тему главы «Земледелие, каналы и поселения»."
REL_MES_030,ART_MESA_005,SYS_MES_001,INFLUENCED,"«Тростниковая лодка» раскрывает тему главы «Земледелие, каналы и поселения»."
REL_MES_031,TERM_MESA_009,SYS_MES_001,ECONOMIC_LINK,"«Полевой участок» раскрывает тему главы «Земледелие, каналы и поселения»."
REL_MES_032,SYS_MES_001,TERM_MES_005,PRECEDES,Связанные элементы одного исторического процесса.
REL_MES_033,TERM_MES_005,EVT_MES_001,PRECEDES,Связанные элементы одного исторического процесса.
REL_MES_034,EVT_MES_001,TERM_MES_006,PRECEDES,Связанные элементы одного исторического процесса.
REL_MES_035,TERM_MES_006,TERM_MES_007,PRECEDES,Связанные элементы одного исторического процесса.
REL_MES_036,TERM_MES_007,TERM_MES_008,PRECEDES,Связанные элементы одного исторического процесса.
REL_MES_037,CITY_MES_001,EVT_MES_002,PART_OF,«Эриду» раскрывает тему главы «Убейдский мир».
REL_MES_038,ART_MES_001,EVT_MES_002,INFLUENCED,«Убейдская керамика» раскрывает тему главы «Убейдский мир».
REL_MES_039,CITY_MES_002,EVT_MES_002,ECONOMIC_LINK,«Трёхчастный храм» раскрывает тему главы «Убейдский мир».
REL_MES_040,SYSTEM_MES_002,EVT_MES_002,CULTURAL_LINK,«Убейдская сеть поселений» раскрывает тему главы «Убейдский мир».
