id,type,title,subtitle,era,region,date,rarity,campaign,chapter,acquisition,source
ART_ROM_001,ARTIFACT,Капитолийская волчица,главный символ римского мифа,Античность / Средние века / Возрождение,Рим,датировка бронзы остаётся предметом споров,RARE,,,,https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D0%BF%D0%B8%D1%82%D0%BE%D0%BB%D0%B8%D0%B9%D1%81%D0%BA%D0%B0%D1%8F_%D0%B2%D0%BE%D0%BB%D1%87%D0%B8%D1%86%D0%B0
CUL_ROM_001,CULTURE,Сабиняне,соседи и участники раннего римского предания,Ранний Рим,Центральная Италия,I тысячелетие до н. э.,RARE,,,,https://ru.wikipedia.org/wiki/%D0%A1%D0%B0%D0%B1%D0%B8%D0%BD%D1%8F%D0%BD%D0%B5
EVT_ROM_005,EVENT,Похищение сабинянок,жестокий миф о населении нового города,Ранний Рим,Рим / Сабинская область,легендарное время,RARE,,,,https://ru.wikipedia.org/wiki/%D0%9F%D0%BE%D1%85%D0%B8%D1%89%D0%B5%D0%BD%D0%B8%D0%B5_%D1%81%D0%B0%D0%B1%D0%B8%D0%BD%D1%8F%D0%BD%D0%BE%D0%BA
PER_ROM_007,PERSON,Нума Помпилий,мирный законодатель и второй царь традиции,Римское царство,Рим / сабинская традиция,традиционно 715–673 годы до н. э.,EPIC,,,,https://ru.wikipedia.org/wiki/%D0%9D%D1%83%D0%BC%D0%B0_%D0%9F%D0%BE%D0%BC%D0%BF%D0%B8%D0%BB%D0%B8%D0%B9
ORG_ROM_002,RELIGION,Весталки,жрицы священного огня Весты,Царство / Республика / Империя,Рим,древнейший римский культ,UNCOMMON,,,,https://ru.wikipedia.org/wiki/%D0%92%D0%B5%D1%81%D1%82%D0%B0%D0%BB%D0%BA%D0%B8
CUL_ROM_002,CULTURE,Этруски,могущественные соседи раннего Рима,Железный век / архаическая Италия,Этрурия и Центральная Италия,примерно IX–I века до н. э.,EPIC,,,,https://ru.wikipedia.org/wiki/%D0%AD%D1%82%D1%80%D1%83%D1%81%D0%BA%D0%B8
PER_ROM_008,PERSON,Тарквиний Древний,пятый царь и начало этрусской династии традиции,Римское царство,Рим / Этрурия,традиционно 616–579 годы до н. э.,RARE,,,,https://ru.wikipedia.org/wiki/%D0%9B%D1%83%D1%86%D0%B8%D0%B9_%D0%A2%D0%B0%D1%80%D0%BA%D0%B2%D0%B8%D0%BD%D0%B8%D0%B9_%D0%9F%D1%80%D0%B8%D1%81%D0%BA
LOC_ROM_002,CITY,Римский форум,"долина, ставшая сердцем города",Царство — Империя,Рим,формирование с царского периода,RARE,,,,https://ru.wikipedia.org/wiki/%D0%A0%D0%B8%D0%BC%D1%81%D0%BA%D0%B8%D0%B9_%D1%84%D0%BE%D1%80%D1%83%D0%BC
PER_ROM_009,PERSON,Тарквиний Гордый,последний царь в римской традиции,Римское царство,Рим,традиционно 534–509 годы до н. э.,EPIC,,,,https://ru.wikipedia.org/wiki/%D0%9B%D1%83%D1%86%D0%B8%D0%B9_%D0%A2%D0%B0%D1%80%D0%BA%D0%B2%D0%B8%D0%BD%D0%B8%D0%B9_%D0%93%D0%BE%D1%80%D0%B4%D1%8B%D0%B9
PER_REP_001,PERSON,Секст Тарквиний,сын последнего царя и фигура предания о Лукреции,Ранний Рим,Рим и Лаций,конец VI века до н. э.,RARE,,,,https://ru.wikipedia.org/wiki/Special:Search?search=%D0%A1%D0%B5%D0%BA%D1%81%D1%82%20%D0%A2%D0%B0%D1%80%D0%BA%D0%B2%D0%B8%D0%BD%D0%B8%D0%B9
PER_REP_002,PERSON,Луций Тарквиний Коллатин,муж Лукреции и первый консул по традиции,Ранняя Республика,Рим,конец VI века до н. э.,COMMON,,,,https://ru.wikipedia.org/wiki/Special:Search?search=%D0%9B%D1%83%D1%86%D0%B8%D0%B9%20%D0%A2%D0%B0%D1%80%D0%BA%D0%B2%D0%B8%D0%BD%D0%B8%D0%B9%20%D0%9A%D0%BE%D0%BB%D0%BB%D0%B0%D1%82%D0%B8%D0%BD
EVT_REP_001,EVENT,Клятва Брута,обет не допустить возвращения царей,Ранняя Республика,Рим,традиционно 509 год до н. э.,COMMON,,,,https://ru.wikipedia.org/wiki/Special:Search?search=%D0%9A%D0%BB%D1%8F%D1%82%D0%B2%D0%B0%20%D0%91%D1%80%D1%83%D1%82%D0%B0
PER_REP_003,PERSON,Публий Валерий Публикола,ранний консул и герой республиканской традиции,Ранняя Республика,Рим,конец VI века до н. э.,RARE,,,,https://ru.wikipedia.org/wiki/Special:Search?search=%D0%9F%D1%83%D0%B1%D0%BB%D0%B8%D0%B9%20%D0%92%D0%B0%D0%BB%D0%B5%D1%80%D0%B8%D0%B9%20%D0%9F%D1%83%D0%B1%D0%BB%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0
BAT_REP_001,BATTLE,Битва при Сильва-Арсии,первое крупное столкновение молодой Республики,Ранняя Республика,Этрурия и Лаций,традиционно 509 год до н. э.,COMMON,,,,https://ru.wikipedia.org/wiki/Special:Search?search=%D0%91%D0%B8%D1%82%D0%B2%D0%B0%20%D0%BF%D1%80%D0%B8%20%D0%A1%D0%B8%D0%BB%D1%8C%D0%B2%D0%B0-%D0%90%D1%80%D1%81%D0%B8%D0%B8
CUL_REP_001,CULTURE,Патриции,наследственная привилегированная группа раннего Рима,Ранняя Республика,Рим,VI–V века до н. э.,RARE,,,,https://ru.wikipedia.org/wiki/Special:Search?search=%D0%9F%D0%B0%D1%82%D1%80%D0%B8%D1%86%D0%B8%D0%B8
CUL_REP_002,CULTURE,Плебеи,широкая часть римского гражданского коллектива,Ранняя Республика,Рим,VI–V века до н. э.,RARE,,,,https://ru.wikipedia.org/wiki/Special:Search?search=%D0%9F%D0%BB%D0%B5%D0%B1%D0%B5%D0%B8
EVT_REP_002,EVENT,Первая сецессия плебеев,коллективный уход граждан как политическое давление,Ранняя Республика,Рим и Священная гора,традиционно 494 год до н. э.,EPIC,,,,https://ru.wikipedia.org/wiki/Special:Search?search=%D0%9F%D0%B5%D1%80%D0%B2%D0%B0%D1%8F%20%D1%81%D0%B5%D1%86%D0%B5%D1%81%D1%81%D0%B8%D1%8F%20%D0%BF%D0%BB%D0%B5%D0%B1%D0%B5%D0%B5%D0%B2
ORG_REP_001,OFFICE,Народный трибун,защитник плебеев с правом вмешательства,Римская республика,Рим,с начала V века до н. э.,EPIC,,,,https://ru.wikipedia.org/wiki/Special:Search?search=%D0%9D%D0%B0%D1%80%D0%BE%D0%B4%D0%BD%D1%8B%D0%B9%20%D1%82%D1%80%D0%B8%D0%B1%D1%83%D0%BD
EVT_REP_003,EVENT,Борьба сословий,долгий конфликт за доступ к праву и должностям,Римская республика,Рим,традиционно V–III века до н. э.,RARE,,,,https://ru.wikipedia.org/wiki/Special:Search?search=%D0%91%D0%BE%D1%80%D1%8C%D0%B1%D0%B0%20%D1%81%D0%BE%D1%81%D0%BB%D0%BE%D0%B2%D0%B8%D0%B9
LAW_REP_001,LAW,Законы XII таблиц,первая публичная основа римского права,Римская республика,Римский форум,традиционно 451–449 годы до н. э.,LEGENDARY,,,,https://ru.wikipedia.org/wiki/Special:Search?search=%D0%97%D0%B0%D0%BA%D0%BE%D0%BD%D1%8B%20XII%20%D1%82%D0%B0%D0%B1%D0%BB%D0%B8%D1%86
ORG_REP_002,FACTION,Децемвиры,коллегия десяти мужей для записи законов,Римская республика,Рим,традиционно 451–449 годы до н. э.,RARE,,,,https://ru.wikipedia.org/wiki/Special:Search?search=%D0%94%D0%B5%D1%86%D0%B5%D0%BC%D0%B2%D0%B8%D1%80%D1%8B
PER_REP_004,PERSON,Аппий Клавдий Красс,децемвир и антагонист предания о Вергинии,Римская республика,Рим,V век до н. э.,RARE,,,,https://ru.wikipedia.org/wiki/Special:Search?search=%D0%90%D0%BF%D0%BF%D0%B8%D0%B9%20%D0%9A%D0%BB%D0%B0%D0%B2%D0%B4%D0%B8%D0%B9%20%D0%9A%D1%80%D0%B0%D1%81%D1%81
PER_REP_005,PERSON,Вергиния,героиня предания о падении децемвиров,Римская республика,Рим,традиционно середина V века до н. э.,RARE,,,,https://ru.wikipedia.org/wiki/Special:Search?search=%D0%92%D0%B5%D1%80%D0%B3%D0%B8%D0%BD%D0%B8%D1%8F
EVT_REP_004,EVENT,Вторая сецессия плебеев,падение децемвиров и восстановление магистратур,Римская республика,Рим,традиционно 449 год до н. э.,COMMON,,,,https://ru.wikipedia.org/wiki/Special:Search?search=%D0%92%D1%82%D0%BE%D1%80%D0%B0%D1%8F%20%D1%81%D0%B5%D1%86%D0%B5%D1%81%D1%81%D0%B8%D1%8F%20%D0%BF%D0%BB%D0%B5%D0%B1%D0%B5%D0%B5%D0%B2
CITY_ITA_001,CITY,Вейи,этрусский соперник Рима,Ранняя Республика,Этрурия,до 396 года до н. э.,RARE,ROME,ROME_CHAPTER_03,CAMPAIGN,https://ru.wikipedia.org/wiki/%D0%92%D0%B5%D0%B9%D0%B8
PER_ITA_001,PERSON,Марк Фурий Камилл,полководец ранней Республики,Ранняя Республика,Рим,V–IV века до н. э.,EPIC,ROME,ROME_CHAPTER_03,CAMPAIGN,https://ru.wikipedia.org/wiki/%D0%9C%D0%B0%D1%80%D0%BA_%D0%A4%D1%83%D1%80%D0%B8%D0%B9_%D0%9A%D0%B0%D0%BC%D0%B8%D0%BB%D0%BB
EVT_ITA_001,EVENT,Падение Вейев,первый крупный успех Республики,Ранняя Республика,Этрурия,около 396 года до н. э.,RARE,ROME,ROME_CHAPTER_03,CAMPAIGN,https://ru.wikipedia.org/wiki/%D0%92%D0%B5%D0%B9%D0%B8
BAT_ITA_001,BATTLE,Битва при Аллии,катастрофа перед разграблением Рима,Ранняя Республика,Лаций,традиционно 390 или 387 год до н. э.,EPIC,ROME,ROME_CHAPTER_03,CAMPAIGN,https://ru.wikipedia.org/wiki/%D0%91%D0%B8%D1%82%D0%B2%D0%B0_%D0%BF%D1%80%D0%B8_%D0%90%D0%BB%D0%BB%D0%B8%D0%B8
EVT_ITA_002,EVENT,Разграбление Рима галлами,город после военной катастрофы,Ранняя Республика,Рим,IV век до н. э.,LEGENDARY,ROME,ROME_CHAPTER_03,CAMPAIGN,https://ru.wikipedia.org/wiki/%D0%A0%D0%B0%D0%B7%D0%B3%D1%80%D0%B0%D0%B1%D0%BB%D0%B5%D0%BD%D0%B8%D0%B5_%D0%A0%D0%B8%D0%BC%D0%B0_(390_%D0%B3%D0%BE%D0%B4_%D0%B4%D0%BE_%D0%BD._%D1%8D.)
PER_ITA_002,PERSON,Бренн,галльский вождь в римской традиции,Ранняя Республика,Центральная Италия,IV век до н. э.,RARE,ROME,ROME_CHAPTER_03,CAMPAIGN,https://ru.wikipedia.org/wiki/%D0%91%D1%80%D0%B5%D0%BD%D0%BD_(IV_%D0%B2%D0%B5%D0%BA_%D0%B4%D0%BE_%D0%BD._%D1%8D.)
EVT_ITA_003,EVENT,Восстановление Рима,перестройка после галльской катастрофы,Ранняя Республика,Рим,IV век до н. э.,COMMON,ROME,ROME_CHAPTER_03,CAMPAIGN,https://ru.wikipedia.org/wiki/%D0%A1%D0%B5%D1%80%D0%B2%D0%B8%D0%B5%D0%B2%D0%B0_%D1%81%D1%82%D0%B5%D0%BD%D0%B0
WAR_ITA_001,WAR,Латинская война,борьба за устройство Лация,Ранняя Республика,Лаций,340–338 годы до н. э.,RARE,ROME,ROME_CHAPTER_03,CAMPAIGN,https://ru.wikipedia.org/wiki/%D0%9B%D0%B0%D1%82%D0%B8%D0%BD%D1%81%D0%BA%D0%B0%D1%8F_%D0%B2%D0%BE%D0%B9%D0%BD%D0%B0
EVT_ITA_004,EVENT,Роспуск Латинского союза,новый порядок после 338 года,Ранняя Республика,Лаций,338 год до н. э.,RARE,ROME,ROME_CHAPTER_03,CAMPAIGN,https://ru.wikipedia.org/wiki/%D0%9B%D0%B0%D1%82%D0%B8%D0%BD%D1%81%D0%BA%D0%B8%D0%B9_%D1%81%D0%BE%D1%8E%D0%B7
SYS_ITA_001,SYSTEM,Союзная система Рима,"сеть граждан, муниципиев и союзников",Ранняя Республика,Италия,IV–III века до н. э.,EPIC,ROME,ROME_CHAPTER_03,CAMPAIGN,https://ru.wikipedia.org/wiki/%D0%A0%D0%B8%D0%BC%D1%81%D0%BA%D0%BE%D0%B5_%D0%B3%D1%80%D0%B0%D0%B6%D0%B4%D0%B0%D0%BD%D1%81%D1%82%D0%B2%D0%BE
WAR_ITA_002,WAR,Самнитские войны,долгая борьба за Центральную Италию,Ранняя Республика,Самний,343–290 годы до н. э.,LEGENDARY,ROME,ROME_CHAPTER_03,CAMPAIGN,https://ru.wikipedia.org/wiki/%D0%A1%D0%B0%D0%BC%D0%BD%D0%B8%D1%82%D1%81%D0%BA%D0%B8%D0%B5_%D0%B2%D0%BE%D0%B9%D0%BD%D1%8B
BAT_ITA_002,BATTLE,Кавдинское ущелье,капитуляция без большой битвы,Ранняя Республика,Самний,321 год до н. э.,EPIC,ROME,ROME_CHAPTER_03,CAMPAIGN,https://ru.wikipedia.org/wiki/%D0%91%D0%B8%D1%82%D0%B2%D0%B0_%D0%B2_%D0%9A%D0%B0%D0%B2%D0%B4%D0%B8%D0%BD%D1%81%D0%BA%D0%BE%D0%BC_%D1%83%D1%89%D0%B5%D0%BB%D1%8C%D0%B5
PER_ITA_003,PERSON,Гай Понтий,самнитский командующий,Ранняя Республика,Самний,IV век до н. э.,RARE,ROME,ROME_CHAPTER_03,CAMPAIGN,https://ru.wikipedia.org/wiki/%D0%93%D0%B0%D0%B9_%D0%9F%D0%BE%D0%BD%D1%82%D0%B8%D0%B9
ROAD_ITA_001,ROAD,Аппиева дорога,военная и административная магистраль,Ранняя Республика,Италия,с 312 года до н. э.,RARE,ROME,ROME_CHAPTER_03,CAMPAIGN,https://ru.wikipedia.org/wiki/%D0%90%D0%BF%D0%BF%D0%B8%D0%B5%D0%B2%D0%B0_%D0%B4%D0%BE%D1%80%D0%BE%D0%B3%D0%B0
BAT_ITA_003,BATTLE,Битва при Сентине,победа над широкой коалицией,Ранняя Республика,Умбрия,295 год до н. э.,EPIC,ROME,ROME_CHAPTER_03,CAMPAIGN,https://ru.wikipedia.org/wiki/%D0%91%D0%B8%D1%82%D0%B2%D0%B0_%D0%BF%D1%80%D0%B8_%D0%A1%D0%B5%D0%BD%D1%82%D0%B8%D0%BD%D0%B5
CITY_ITA_002,CITY,Тарент,греческий полис Южной Италии,Ранняя Республика,Великая Греция,IV–III века до н. э.,RARE,ROME,ROME_CHAPTER_03,CAMPAIGN,https://ru.wikipedia.org/wiki/%D0%A2%D0%B0%D1%80%D0%B0%D0%BD%D1%82%D0%BE
PER_ITA_004,PERSON,Пирр Эпирский,эллинистический царь и противник Рима,Ранняя Республика,Эпир и Южная Италия,319/318–272 годы до н. э.,LEGENDARY,ROME,ROME_CHAPTER_03,CAMPAIGN,https://ru.wikipedia.org/wiki/%D0%9F%D0%B8%D1%80%D1%80
WAR_ITA_003,WAR,Пиррова война,столкновение Рима с эллинистическим миром,Ранняя Республика,Южная Италия,280–275 годы до н. э.,UNCOMMON,ROME,ROME_CHAPTER_03,CAMPAIGN,https://ru.wikipedia.org/wiki/%D0%9F%D0%B8%D1%80%D1%80%D0%BE%D0%B2%D0%B0_%D0%B2%D0%BE%D0%B9%D0%BD%D0%B0
BAT_ITA_004,BATTLE,Битва при Гераклее,первая победа Пирра в Италии,Ранняя Республика,Лукания,280 год до н. э.,UNCOMMON,ROME,ROME_CHAPTER_03,CAMPAIGN,https://ru.wikipedia.org/wiki/%D0%91%D0%B8%D1%82%D0%B2%D0%B0_%D0%BF%D1%80%D0%B8_%D0%93%D0%B5%D1%80%D0%B0%D0%BA%D0%BB%D0%B5%D0%B5
BAT_ITA_005,BATTLE,Битва при Аускуле,"победа, которая истощает победителя",Ранняя Республика,Апулия,279 год до н. э.,UNCOMMON,ROME,ROME_CHAPTER_03,CAMPAIGN,https://ru.wikipedia.org/wiki/%D0%91%D0%B8%D1%82%D0%B2%D0%B0_%D0%BF%D1%80%D0%B8_%D0%90%D1%83%D1%81%D0%BA%D1%83%D0%BB%D0%B5
BAT_ITA_006,BATTLE,Битва при Беневенте,завершение италийской кампании Пирра,Ранняя Республика,Самний,275 год до н. э.,UNCOMMON,ROME,ROME_CHAPTER_03,CAMPAIGN,https://ru.wikipedia.org/wiki/%D0%91%D0%B8%D1%82%D0%B2%D0%B0_%D0%BF%D1%80%D0%B8_%D0%91%D0%B5%D0%BD%D0%B5%D0%B2%D0%B5%D0%BD%D1%82%D0%B5
STATE_ITA_001,STATE,Римская Италия,система господства без единой провинции,Ранняя Республика,Италия,к 272 году до н. э.,RARE,ROME,ROME_CHAPTER_03,CAMPAIGN,https://ru.wikipedia.org/wiki/%D0%A0%D0%B8%D0%BC%D1%81%D0%BA%D0%B0%D1%8F_%D0%98%D1%82%D0%B0%D0%BB%D0%B8%D1%8F
CITY_ARC_001,CITY,Альба-Лонга,легендарная прародина Ромула и Рема,Ранний Рим,Альбанские холмы,легендарная эпоха до основания Рима,COMMON,,,,https://ru.wikipedia.org/wiki/%D0%90%D0%BB%D1%8C%D0%B1%D0%B0-%D0%9B%D0%BE%D0%BD%D0%B3%D0%B0
REG_ARC_001,CITY,Тибр,"река, на которой вырос Рим",Античность,Центральная Италия,древность,COMMON,,,,https://ru.wikipedia.org/wiki/%D0%A2%D0%B8%D0%B1%D1%80
REL_ARC_001,RELIGION,Авгурия,чтение воли богов по знамениям,Ранний Рим,Италия,античность,UNCOMMON,,,,https://ru.wikipedia.org/wiki/%D0%90%D0%B2%D0%B3%D1%83%D1%80
PER_ARC_001,PERSON,Тит Татий,сабинский царь и соправитель Ромула,Легендарный ранний Рим,Лаций и Сабина,легендарная эпоха,RARE,,,,https://ru.wikipedia.org/wiki/%D0%A2%D0%B8%D1%82_%D0%A2%D0%B0%D1%82%D0%B8%D0%B9
PER_ARC_002,PERSON,Тарпея,девушка из легенды о сабинской войне,Легендарный ранний Рим,Рим,легендарная эпоха,RARE,,,,https://ru.wikipedia.org/wiki/%D0%A2%D0%B0%D1%80%D0%BF%D0%B5%D1%8F
LOC_ARC_001,CITY,Квиринал,один из ключевых холмов раннего Рима,Ранний Рим,Рим,античность,UNCOMMON,,,,https://ru.wikipedia.org/wiki/%D0%9A%D0%B2%D0%B8%D1%80%D0%B8%D0%BD%D0%B0%D0%BB
REL_ARC_002,RELIGION,Храм Януса,ворота войны и мира,Римское царство и Республика,Рим,античность,UNCOMMON,,,,https://ru.wikipedia.org/wiki/%D0%A5%D1%80%D0%B0%D0%BC_%D0%AF%D0%BD%D1%83%D1%81%D0%B0_(%D0%A0%D0%B8%D0%BC)
PER_ARC_003,PERSON,Анк Марций,четвёртый царь римской традиции,Римское царство,Рим и Лаций,традиционно VII век до н. э.,RARE,,,,https://ru.wikipedia.org/wiki/%D0%90%D0%BD%D0%BA_%D0%9C%D0%B0%D1%80%D1%86%D0%B8%D0%B9
PER_ARC_004,PERSON,Сервий Туллий,царь реформ и городского порядка,Позднее Римское царство,Рим,традиционно VI век до н. э.,EPIC,,,,https://ru.wikipedia.org/wiki/%D0%A1%D0%B5%D1%80%D0%B2%D0%B8%D0%B9_%D0%A2%D1%83%D0%BB%D0%BB%D0%B8%D0%B9
ART_ARC_001,ARTIFACT,Клоака Максима,дренажная система раннего Рима,Царский и республиканский Рим,Рим,формировалась в ранний период Рима,UNCOMMON,,,,https://ru.wikipedia.org/wiki/%D0%91%D0%BE%D0%BB%D1%8C%D1%88%D0%B0%D1%8F_%D0%9A%D0%BB%D0%BE%D0%B0%D0%BA%D0%B0
ART_ARC_002,ARTIFACT,Сервиева стена,укрепления республиканского Рима,Ранний Рим и Республика,Рим,основные сохранившиеся участки относятся к IV веку до н. э.,UNCOMMON,,,,https://ru.wikipedia.org/wiki/%D0%A1%D0%B5%D1%80%D0%B2%D0%B8%D0%B5%D0%B2%D0%B0_%D1%81%D1%82%D0%B5%D0%BD%D0%B0
PER_ARC_005,PERSON,Лукреция,женщина в легенде о падении царской власти,Конец Римского царства,Рим и Коллация,традиционно конец VI века до н. э.,EPIC,,,,https://ru.wikipedia.org/wiki/%D0%9B%D1%83%D0%BA%D1%80%D0%B5%D1%86%D0%B8%D1%8F
PER_ARC_006,PERSON,Луций Юний Брут,легендарный основатель Республики,Ранняя Республика,Рим,традиционно VI век до н. э.,LEGENDARY,,,,https://ru.wikipedia.org/wiki/%D0%9B%D1%83%D1%86%D0%B8%D0%B9_%D0%AE%D0%BD%D0%B8%D0%B9_%D0%91%D1%80%D1%83%D1%82
ORG_ARC_001,FACTION,Римские консулы,двойная высшая магистратура Республики,Римская республика,Рим,с начала Республики,UNCOMMON,,,,https://ru.wikipedia.org/wiki/%D0%9A%D0%BE%D0%BD%D1%81%D1%83%D0%BB_(%D0%94%D1%80%D0%B5%D0%B2%D0%BD%D0%B8%D0%B9_%D0%A0%D0%B8%D0%BC)
ART_ARC_003,ARTIFACT,Фасции,знак власти римских магистратов,Римская республика и Империя,Рим,античность,UNCOMMON,,,,https://ru.wikipedia.org/wiki/%D0%A4%D0%B0%D1%81%D1%86%D0%B8%D0%B8
PER_AREP_001,PERSON,Спурий Лукреций Триципитин,отец Лукреции и участник смены власти,Ранняя Республика,Рим,конец VI века до н. э.,UNCOMMON,,,,https://ru.wikipedia.org/wiki/Special:Search?search=%D0%A1%D0%BF%D1%83%D1%80%D0%B8%D0%B9%20%D0%9B%D1%83%D0%BA%D1%80%D0%B5%D1%86%D0%B8%D0%B9%20%D0%A2%D1%80%D0%B8%D1%86%D0%B8%D0%BF%D0%B8%D1%82%D0%B8%D0%BD
LOC_AREP_001,CITY,Комиций,древняя площадка собраний у Форума,Римская республика,Римский форум,архаический и республиканский периоды,UNCOMMON,,,,https://ru.wikipedia.org/wiki/Special:Search?search=%D0%9A%D0%BE%D0%BC%D0%B8%D1%86%D0%B8%D0%B9
LOC_AREP_002,CITY,Курия Гостилия,традиционное раннее здание сената,Римская республика,Римский форум,царский и республиканский периоды,UNCOMMON,,,,https://ru.wikipedia.org/wiki/Special:Search?search=%D0%9A%D1%83%D1%80%D0%B8%D1%8F%20%D0%93%D0%BE%D1%81%D1%82%D0%B8%D0%BB%D0%B8%D1%8F
PER_AREP_002,PERSON,Гораций Коклес,легендарный защитник Свайного моста,Ранняя Республика,Рим,конец VI века до н. э.,RARE,,,,https://ru.wikipedia.org/wiki/Special:Search?search=%D0%93%D0%BE%D1%80%D0%B0%D1%86%D0%B8%D0%B9%20%D0%9A%D0%BE%D0%BA%D0%BB%D0%B5%D1%81
PER_AREP_003,PERSON,Гай Муций Сцевола,герой предания о стойкости перед Порсеной,Ранняя Республика,Этрурия и Рим,конец VI века до н. э.,RARE,,,,https://ru.wikipedia.org/wiki/Special:Search?search=%D0%93%D0%B0%D0%B9%20%D0%9C%D1%83%D1%86%D0%B8%D0%B9%20%D0%A1%D1%86%D0%B5%D0%B2%D0%BE%D0%BB%D0%B0
PER_AREP_004,PERSON,Клелия,заложница и героиня раннереспубликанской легенды,Ранняя Республика,Рим и Этрурия,конец VI века до н. э.,RARE,,,,https://ru.wikipedia.org/wiki/Special:Search?search=%D0%9A%D0%BB%D0%B5%D0%BB%D0%B8%D1%8F
PER_AREP_005,PERSON,Ларс Порсена,этрусский правитель в легендах ранней Республики,Ранняя Республика,Клузий и Рим,конец VI века до н. э.,RARE,,,,https://ru.wikipedia.org/wiki/Special:Search?search=%D0%9B%D0%B0%D1%80%D1%81%20%D0%9F%D0%BE%D1%80%D1%81%D0%B5%D0%BD%D0%B0
LOC_AREP_003,CITY,Свайный мост,древняя переправа через Тибр,Ранняя Республика,Рим,архаический период,UNCOMMON,,,,https://ru.wikipedia.org/wiki/Special:Search?search=%D0%A1%D0%B2%D0%B0%D0%B9%D0%BD%D1%8B%D0%B9%20%D0%BC%D0%BE%D1%81%D1%82
BAT_AREP_001,BATTLE,Битва у Регилльского озера,легендарная победа над Латинским союзом,Ранняя Республика,Лаций,традиционно начало V века до н. э.,UNCOMMON,,,,https://ru.wikipedia.org/wiki/Special:Search?search=%D0%91%D0%B8%D1%82%D0%B2%D0%B0%20%D1%83%20%D0%A0%D0%B5%D0%B3%D0%B8%D0%BB%D0%BB%D1%8C%D1%81%D0%BA%D0%BE%D0%B3%D0%BE%20%D0%BE%D0%B7%D0%B5%D1%80%D0%B0
ORG_AREP_001,OFFICE,Ликторы,служители и символ власти магистратов,Римская республика,Рим,республиканский период,UNCOMMON,,,,https://ru.wikipedia.org/wiki/Special:Search?search=%D0%9B%D0%B8%D0%BA%D1%82%D0%BE%D1%80%D1%8B
